"Date","Type","Area","What was implemented","Version","Commit"
"2026-08-16","Other","","@ [v3.5.69] feat(calendar): the lunar days ahead, computed rather than tabulated","","74adafa"
"2026-08-16","Feature","notifications","Tell people what is coming, once, and only if asked","v3.5.68","961961f"
"2026-08-16","Feature","muhurat","Choose what you are doing, see today's windows for it","v3.5.67","9e1332e"
"2026-08-16","Bug fix","ephemeris","Settle sidereal mode before the first real calculation","v3.5.66","22a0065"
"2026-08-16","Feature","Relationships","Calculate the match instead of asking a model to imagine it","v3.5.65","accfe2a"
"2026-08-16","Bug fix","","Make the new pages reachable, and run the dead crons off traffic","v3.5.64","2206ef4"
"2026-08-16","Documentation","","Level the implementation log with HEAD","v3.5.63","f12b1f1"
"2026-08-16","Documentation","","Record the learn path in the implementation log","v3.5.62","7adb11e"
"2026-08-16","Feature","learn","Put the reading material in an order","v3.5.61","bc2b1eb"
"2026-08-16","Feature","saved","Make ""Save this response"" actually save something","v3.5.60","07ea974"
"2026-08-16","Documentation","","Record the calculators and journal context in the log","v3.5.59","9e75876"
"2026-08-16","Feature","","Three calculators without a signup, and a journal that remembers when","v3.5.58","f6a2ae4"
"2026-08-16","Feature","patterns","Answer the questions people arrive frightened by","v3.5.57","b73e306"
"2026-08-16","Bug fix","","Keep the deletion promise, and stop inventing Rahu Kaal","v3.5.56","c874c13"
"2026-08-16","Documentation","","Record v3.5.54 in the implementation log","v3.5.55","1399486"
"2026-08-16","Feature","Consultations","Rate a finished session, and time-box the signup offer","v3.5.54","398ab85"
"2026-08-16","Feature","Consultations","Read the actual earlier conversations, not a paraphrase","v3.5.53","a82bd47"
"2026-08-16","Bug fix","Consultations","One copy of the question, and a composer that stays put","v3.5.52","a25334b"
"2026-08-16","Documentation","","Bring the implementation log level with HEAD","v3.5.51","793d647"
"2026-08-16","Documentation","","Note in CLAUDE.md that the implementation log is generated","v3.5.50","10eecc0"
"2026-08-16","Documentation","","Keep a generated record of every commit, maintained by a hook","v3.5.49","aa49b4a"
"2026-08-16","Bug fix","Ask Chetna AI","The composer was sitting half off the screen","v3.5.48","f48333f"
"2026-08-16","Bug fix","Consultations","Start the paid clock on the first message, not on the click","v3.5.47","deff9a4"
"2026-08-16","Bug fix","Consultations","Clear the composer on send, and say who is thinking","v3.5.46","78d913e"
"2026-08-16","Refactor","","One telling of how AskChetna works, not two","v3.5.45","67d1283"
"2026-08-16","Feature","Consultations","Astrologers remember seekers between sessions","v3.5.44","7fc36f3"
"2026-08-16","Documentation","","Commit the redesign specs and the design skill","v3.5.43","9325a7c"
"2026-08-16","Feature","Journal","Build the page the header has linked to all along","v3.5.42","b82244d"
"2026-08-16","Bug fix","Typography","Give Devanagari a font — it had none","v3.5.41","1c7c26e"
"2026-08-16","Bug fix","Accessibility","Stop dimming already-quiet text tokens with opacity","v3.5.40","e24a6c9"
"2026-08-16","Feature","Birth chart","Put an interpretation above the sixteen grids","v3.5.39","157c332"
"2026-08-16","Feature","Timing & seasons","Say what the vocabulary means, in place","v3.5.38","2a81401"
"2026-08-16","Bug fix","API","Guard every write path that inserts a userId, and close an IDOR","v3.5.37","b9940d4"
"2026-08-16","Bug fix","Design system","Replace all 129 `transition: all` with the properties actually animated","v3.5.36","c26ef80"
"2026-08-16","Refactor","Design system","Give the site a type scale — 76 literal sizes down to 0","v3.5.35","487484c"
"2026-08-16","Bug fix","Birth chart","Make the birth record readable on a phone","v3.5.34","5480224"
"2026-08-16","Documentation","","Correct three stale claims in CLAUDE.md, and stop dropping campaign mail","v3.5.33","b0adfa8"
"2026-08-16","Bug fix","Design system","Gate 181 hover rules behind (hover: hover) and (pointer: fine)","v3.5.32","98a8061"
"2026-08-16","Bug fix","Glossary","The page was rendering no terms at all","v3.5.31","a334d8e"
"2026-08-16","Bug fix","Design system","Define the classes the pages ask for, and finish the Tailwind sweep","v3.5.30","f6459c5"
"2026-08-15","Bug fix","Journal","Open as a prompt, and show earlier reflections","v3.5.29","39d5f09"
"2026-08-15","Bug fix","Home","Rebalance the columns so the page stops ending in blank parchment","v3.5.28","639c08d"
"2026-08-15","Feature","Home","Show the seeker's current chapter, and stop shipping 757KB for it","v3.5.27","0fa8310"
"2026-08-15","Feature","Daily insight","Let today's note run 100-150 words instead of 55","v3.5.26","3ffaee5"
"2026-08-15","Bug fix","App updates","Give the update banner real CSS instead of inert Tailwind","v3.5.25","9308074"
"2026-08-15","Bug fix","Glossary","Stop the glossary example contradicting the reader's chart","v3.5.24","0939439"
"2026-08-15","Bug fix","Glossary","Open the glossary tooltip downward — NOT VERIFIED","v3.5.23","79a2e94"
"2026-08-15","Bug fix","Birth chart","One row for the birth record, tighter and quieter","v3.5.22","7efa0f0"
"2026-08-15","Bug fix","Birth chart","Stack the header so it stops leaving a hole in the page","v3.5.21","08d8cbb"
"2026-08-15","Bug fix","Birth chart","Make the header one block instead of three clusters","v3.5.20","823ed4d"
"2026-08-15","Bug fix","Birth chart","Give the page a heading it never had","v3.5.19","101cf0b"
